16.11.2014 Tommi Soidinmäki & Energia – Baltic Princess, Turku
17.11.2014 Tommi Soidinmäki & Energia – Baltic Princess, Turku
18.11.2014 Tommi Soidinmäki & Energia – Baltic Princess, Turku
20.11.2014 Saija Tuupanen, Tommi Soidinmäki & Energia – Kiurusali, Kiuruvesi
28.11.2014 Tommi Soidinmäki & Energia – Hotelli Kumpeli, Heinola
2.12.2014 Tommi Soidinmäki & Energia – Viking Gabriella, Helsinki
3.12.2014 Tommi Soidinmäki & Energia – Viking Gabriella, Helsinki
5.12.2014 Saija Tuupanen, Tommi Soidinmäki & Energia – Sigyn-sali, Turku
11.12.2014 Tommi Soidinmäki & Energia – Peurunka, Laukaa
26.12.2014 Tommi Soidinmäki & Energia – Wanhan Kellari, Helsinki
28.12.2014 Tommi Soidinmäki & Energia – Baltic Queen, Helsinki
29.12.2014 Tommi Soidinmäki & Energia – Baltic Queen, Helsinki
30.12.2014 Tommi Soidinmäki & Energia – Baltic Queen, Helsinki
31.12.2014 Energia – Yksityistilaisuus, Tampere
24.1.2015 Tommi Soidinmäki & Energia – Paviljonki, Jyväskylä
7.2.2015 Tommi Soidinmäki & Energia – Auran Nuortentalo, Aura
8.2.2015 Tommi Soidinmäki & Energia – Viking Grace, Turku-Tukholma 
28.2.2015 Tommi Soidinmäki & Energia – Revontuli, Hankasalmi
3.3.2015 Tommi Soidinmäki & Energia – Hotelli Hiitteenharju, Harjavalta
6.3.2015 Tommi Soidinmäki & Energia – Teeriharju, Somero
11.3.2015 Tommi Soidinmäki & Energia – Ikaalisten kylpylä, Ikaalinen
12.3.2015 Tommi Soidinmäki & Energia – Yritystilaisuus, Nokia
27.3.2015 Energia – Yritystilaisuus, Jyväskylä
28.3.2015 Tommi Soidinmäki & Energia – Heitunlahden NS, Savitaipale
4.4.2015 Tommi Soidinmäki & Energia – Shamrock, Vantaa
16.4.2015 Tommi Soidinmäki & Energia – Yksityistilaisuus, Pieksämäki
17.4.2015 Tommi Soidinmäki & Energia – Mulligan’s, Kouvola
29.5.2015 Tommi Soidinmäki & Energia – Yksityistilaisuus, Ähtäri
23.5.2015 Tommi Soidinmäki & Energia – Kukonhiekka, Saarijärvi
23.5.2015 Tommi Soidinmäki & Energia – Yksityistilaisuus, Saarijärvi
20.5.2015 Tommi Soidinmäki & Energia – Baltic Princess, Turku
23.5.2015 Tommi Soidinmäki & Energia – Yksityistilaisuus, Saarijärvi
16.5.2015 Tommi Soidinmäki & Energia – Wanhankellari, Helsinki
15.5.2015 Tommi Soidinmäki & Energia – Uittamon lava, Turku
12.5.2015 Tommi Soidinmäki & Energia – Baltic Queen, Helsinki
11.5.2015 Tommi Soidinmäki & Energia – Baltic Queen, Helsinki
10.5.2015 Tommi Soidinmäki & Energia – Baltic Queen, Helsinki
9.5.2015 Tommi Soidinmäki & Energia – Limingan NS, Liminka
5.6.2015 Tommi Soidinmäki & Energia – Vehun seurantalo, Ähtäri
6.6.2015 Tommi Soidinmäki & Energia – Valasranta, Yläne
12.6.2015 Tommi Soidinmäki & Energia – Sokos Hotel Kimmel, Joensuu
13.6.2015 Tommi Soidinmäki & Energia – Yksityistilaisuus, Loimaa
19.6.2015 Tommi Soidinmäki & Energia – Peurunka, Laukaa
20.6.2015 Tommi Soidinmäki & Energia – Honkahovi, Kuhmoinen
27.6.2015 Tommi Soidinmäki & Energia – Vehkakosken lava, Vilppula
3.7.2015 Tommi Soidinmäki & Energia – Pavi, Helsinki
4.7.2015 Tommi Soidinmäki & Energia – Merikievari, Merikarvia
10.7.2015 Tommi Soidinmäki & Energia – Ravintola Hurpakka, Kinnula
11.7.2015 Tommi Soidinmäki & Energia – Narvan markkinat, Vesilahti
17.7.2015 Tommi Soidinmäki & Energia – Monrepos, Lappeenranta
18.7.2015 Tommi Soidinmäki & Energia – Huvilintu, Raisio
